order_id,cust_id,order_status,order_date
78248311,iiyk27fi635,Cancelled,2022-01-02T10:53:21Z
70681694,zndx79dv595,Processing,2023-07-10T05:03:01Z
40246380,knqn03cl323,Cancelled,2021-09-26T18:01:38Z
62858865,xikc18dy769,Processing,2021-04-17T05:59:58Z
42816022,zndx79dv595,Delivered,2022-05-14T16:49:30Z
98595940,ucqd20dx502,Pending,2019-09-30T08:39:41Z
77162384,zndx79dv595,Pending,2020-02-12T10:45:12Z
81199148,zhfl22kv442,Cancelled,2024-03-15T19:05:32Z
35509981,koxd31vc466,Pending,2020-07-16T15:43:56Z
54679351,zxhu04qz949,Pending,2021-02-06T01:18:44Z
41710817,ahlk24vu240,Cancelled,2023-03-04T15:31:44Z
51326624,zndx79dv595,Delivered,2020-02-25T22:55:28Z
33654799,pbyh46iw645,Pending,2023-11-06T15:57:31Z
77815448,pegk82sb010,Processing,2023-02-26T11:51:39Z
34866997,pbyh46iw645,Shipped,2019-01-26T20:37:43Z
67558104,sahs22dc031,Cancelled,2021-07-14T16:10:44Z
19819529,bofq23xp782,Shipped,2020-08-30T13:28:08Z
62800200,tomw58ec332,Cancelled,2023-07-05T19:54:15Z
55920816,pegk82sb010,Shipped,2020-09-28T02:58:28Z
23653029,mgdx98lu616,Pending,2021-03-11T01:38:14Z
15534925,tbkl20yp323,Pending,2019-01-18T02:45:49Z
80729533,korx32es976,Pending,2023-03-17T21:05:25Z
11409099,jzox33pt846,Delivered,2019-10-13T10:53:09Z
71217634,ezjr14hu791,Cancelled,2020-06-25T02:05:52Z
15276690,rnoj77oh349,Shipped,2021-04-13T13:55:50Z
40676517,awnl93gw081,Delivered,2019-07-04T15:56:59Z
39413671,cjum45cw955,Cancelled,2021-05-30T13:29:08Z
50449982,koxd31vc466,Pending,2019-07-01T08:40:49Z
74032366,krhb93ai768,Shipped,2022-02-19T14:18:33Z
38909317,jzox33pt846,Shipped,2019-06-22T20:39:34Z
67222441,bjgd27ii209,Pending,2024-01-16T13:05:27Z
19143784,tbkl20yp323,Cancelled,2023-04-30T20:22:17Z
92829712,nzgm59bl587,Cancelled,2019-05-05T04:07:45Z
83189811,htdh42io696,Processing,2022-10-26T11:13:05Z
25475619,cbks56ex501,Delivered,2021-04-15T09:07:57Z
96710938,ehqe06pj251,Pending,2019-05-28T07:25:39Z
43140186,xrmi24eu289,Delivered,2021-03-05T07:46:11Z
98881757,uztn96tq233,Delivered,2022-06-06T19:49:23Z
61194907,tkpw04jb846,Shipped,2020-03-31T20:23:50Z
87975820,bjgd27ii209,Shipped,2020-11-05T13:12:28Z
35588789,ynta91pg464,Shipped,2021-02-07T16:10:37Z
35403799,mgdx98lu616,Cancelled,2019-07-27T07:41:43Z
51696044,mkdf99dr289,Pending,2021-11-09T11:43:18Z
22275278,cjum45cw955,Processing,2023-04-02T15:17:08Z
21050840,faso98ij803,Pending,2021-09-03T13:09:51Z
22470151,fpsq33or116,Shipped,2019-08-05T07:03:16Z
19413281,qvgr83pl390,Pending,2020-11-02T13:04:01Z
52532621,tkpw04jb846,Pending,2021-06-22T11:50:21Z
13214889,xikc18dy769,Delivered,2020-05-21T21:37:09Z
73315691,mnxk50yg461,Delivered,2023-01-21T12:36:22Z
37049830,qvgr83pl390,Processing,2020-10-12T08:11:04Z
13035939,tomw58ec332,Processing,2019-06-05T07:28:35Z
70051639,koxd31vc466,Cancelled,2023-05-30T10:30:48Z
61352317,zxls47rf746,Processing,2023-03-31T18:33:04Z
97713916,zhac02rd895,Pending,2021-04-18T12:27:56Z
17955791,rkge30jc866,Delivered,2020-11-06T02:38:27Z
80522814,ehqe06pj251,Cancelled,2021-12-17T15:15:02Z
90727697,ahlk24vu240,Cancelled,2019-12-04T03:30:30Z
40130864,zhfl22kv442,Delivered,2022-11-24T11:08:33Z
30914889,tkpw04jb846,Shipped,2021-06-24T06:18:47Z
92053234,ormw26jh773,Cancelled,2021-06-04T02:43:19Z
57102524,zxhu04qz949,Cancelled,2023-11-07T08:32:40Z
63738965,yclp85ad695,Processing,2019-01-31T05:11:00Z
53029975,uztn96tq233,Pending,2019-04-20T07:10:37Z
56024835,jzox33pt846,Cancelled,2021-05-25T19:20:10Z
72525054,tifc99bi200,Pending,2022-09-11T05:52:48Z
21518960,ikzx52ui551,Shipped,2019-11-15T20:49:04Z
22715459,uztn96tq233,Cancelled,2019-05-28T16:45:07Z
33508443,cbks56ex501,Processing,2022-07-30T16:58:57Z
49321991,euqm90ct778,Processing,2019-06-01T01:30:14Z
68704694,htdh42io696,Pending,2020-05-04T01:27:34Z
69379063,qvgr83pl390,Pending,2023-08-26T00:49:09Z
67810995,jaod01gt269,Pending,2019-08-29T16:28:54Z
50872739,cjum45cw955,Pending,2020-02-10T07:55:27Z
46367252,uztn96tq233,Processing,2020-11-10T10:09:22Z
13433706,uhkk86wl165,Processing,2022-01-06T19:46:10Z
63766692,pbyh46iw645,Pending,2022-04-07T13:08:58Z
14064108,zxhu04qz949,Pending,2023-12-25T08:33:36Z
93349494,unkz46ug554,Shipped,2019-02-21T04:25:49Z
41996576,tomw58ec332,Delivered,2021-04-19T16:41:32Z
82061695,fpsq33or116,Processing,2020-03-21T23:15:24Z
95919692,zhac02rd895,Shipped,2024-02-12T14:52:18Z
61696277,ahlk24vu240,Delivered,2020-01-28T23:10:53Z
44126874,sahs22dc031,Delivered,2019-03-28T15:07:34Z
53240024,nzgm59bl587,Pending,2021-09-06T05:12:02Z
41055205,unkz46ug554,Processing,2021-08-05T15:31:09Z
13175549,ucqd20dx502,Delivered,2021-02-18T12:05:48Z
79852007,xpnj35im610,Cancelled,2021-07-17T06:56:58Z
70888989,vqjd84nx309,Cancelled,2021-08-05T02:49:23Z
54199613,uhkk86wl165,Processing,2024-02-05T18:05:54Z
12109693,mkdf99dr289,Shipped,2021-07-20T17:28:18Z
75743390,mgdx98lu616,Delivered,2020-07-25T16:34:02Z
28866974,ucqd20dx502,Delivered,2022-09-05T02:50:30Z
25968230,pegk82sb010,Cancelled,2019-11-16T04:15:24Z
37425828,zhac02rd895,Cancelled,2020-10-02T08:07:44Z
52340559,zhfl22kv442,Cancelled,2023-07-13T22:06:13Z
72644801,xrmi24eu289,Cancelled,2021-11-30T18:51:34Z
16898483,rkge30jc866,Pending,2021-01-20T02:43:34Z
47176056,tkpw04jb846,Cancelled,2022-03-26T12:25:41Z
55493840,mkdf99dr289,Pending,2022-04-26T20:22:40Z
46371309,sahs22dc031,Cancelled,2020-07-07T21:30:23Z
62177055,sahs22dc031,Processing,2019-11-13T12:26:00Z
14438674,ljfo40vn215,Pending,2019-11-12T05:09:47Z
93977657,vqjd84nx309,Cancelled,2024-01-29T19:43:19Z
31969925,mnxk50yg461,Shipped,2023-09-04T02:28:50Z
12622004,fpsq33or116,Cancelled,2020-01-21T23:03:45Z
28852749,bjgd27ii209,Processing,2022-08-05T02:00:30Z
65067820,tbkl20yp323,Delivered,2021-12-30T22:12:18Z
86071595,htdh42io696,Pending,2022-11-29T05:27:25Z
84026325,gihd07uq210,Processing,2023-07-14T00:15:27Z
54153815,krhb93ai768,Shipped,2021-09-23T23:58:55Z
32409125,tbkl20yp323,Pending,2023-03-21T14:25:53Z
14742018,xrmi24eu289,Processing,2020-10-31T22:10:34Z
91947937,pghk17cd042,Cancelled,2023-04-27T13:12:16Z
73237285,tifc99bi200,Pending,2020-09-17T20:22:55Z
52886680,xrmi24eu289,Delivered,2021-08-23T20:16:13Z
81665141,cjum45cw955,Processing,2021-06-12T08:01:36Z
93013736,uhkk86wl165,Shipped,2020-01-25T22:06:46Z
93163681,mgdx98lu616,Processing,2020-07-24T01:29:07Z
56996609,zhac02rd895,Shipped,2020-02-22T02:05:24Z
29580805,uhkk86wl165,Cancelled,2024-01-16T08:49:13Z
30858543,iiyk27fi635,Pending,2020-07-18T11:02:27Z
65940245,ikzx52ui551,Cancelled,2023-06-22T17:41:15Z
80856775,uztn96tq233,Delivered,2023-12-29T16:28:29Z
67200803,tifc99bi200,Pending,2023-04-04T16:15:49Z
35621583,tkpw04jb846,Pending,2019-12-03T18:59:55Z
60546044,yclp85ad695,Cancelled,2021-07-30T22:40:45Z
66283305,mnxk50yg461,Shipped,2021-01-31T19:39:28Z
77608190,jaod01gt269,Shipped,2024-02-25T21:55:43Z
32826333,sahs22dc031,Delivered,2023-01-23T04:14:38Z
19710422,gkab56dt596,Delivered,2023-06-12T00:50:05Z
56586401,zhac02rd895,Processing,2021-08-24T09:06:29Z
33290807,unkz46ug554,Shipped,2021-12-04T09:49:11Z
22838962,htdh42io696,Shipped,2019-01-21T14:00:38Z
26350738,tbkl20yp323,Pending,2020-01-05T23:47:16Z
64665076,bofq23xp782,Cancelled,2021-04-16T01:17:33Z
83660315,gkab56dt596,Cancelled,2020-02-12T00:12:50Z
74101200,mnxk50yg461,Pending,2021-11-22T17:26:37Z
70659976,tbkl20yp323,Processing,2023-04-23T16:56:24Z
17183641,unkz46ug554,Processing,2021-08-12T17:32:51Z
82881265,qkbc91bj561,Pending,2023-01-17T01:44:25Z
14691664,jaod01gt269,Cancelled,2019-08-21T16:06:40Z
67844399,tkpw04jb846,Shipped,2023-01-30T17:52:38Z
69550589,tkpw04jb846,Shipped,2023-02-03T12:35:24Z
40582794,cbks56ex501,Cancelled,2023-02-16T20:01:01Z
54340867,krhb93ai768,Processing,2023-08-22T06:26:45Z
68336930,msit86sd799,Cancelled,2021-07-21T05:18:32Z
43016188,tkpw04jb846,Pending,2019-01-27T18:06:54Z
40779350,vqjd84nx309,Shipped,2021-09-01T02:07:01Z
50441557,pghk17cd042,Pending,2021-03-31T23:50:36Z
37490279,bofq23xp782,Delivered,2019-11-13T22:58:01Z
44953245,mgdx98lu616,Processing,2022-06-07T23:55:05Z
67432523,xrmi24eu289,Cancelled,2024-02-21T00:02:42Z
66443088,msit86sd799,Cancelled,2021-12-03T06:02:38Z
32386357,pegk82sb010,Pending,2020-02-19T05:47:05Z
43276631,htdh42io696,Shipped,2023-07-18T10:56:41Z
41969076,zhac02rd895,Processing,2022-07-04T02:35:07Z
54115579,zndx79dv595,Delivered,2023-04-28T08:50:06Z
65751989,knqn03cl323,Delivered,2020-12-30T11:10:48Z
53243155,ormw26jh773,Processing,2019-02-19T20:24:35Z
56599143,rkge30jc866,Pending,2020-05-31T14:57:14Z
86933674,krhb93ai768,Processing,2022-10-16T11:15:54Z
54565381,iiyk27fi635,Processing,2022-11-13T01:48:22Z
20661283,msit86sd799,Shipped,2023-09-25T12:16:54Z
33121919,uztn96tq233,Cancelled,2020-09-19T14:47:09Z
42463710,crsw11jq264,Cancelled,2020-11-28T19:38:07Z
