payment_id,cust_id,order_item_id,payment_status,payment_method
NA,mnxk50yg461,66283305,Completed,PayPal
NA,jaod01gt269,29336427,Processing,Credit Card
NA,gihd07uq210,84026325,Failed,Bank Transfer
NA,mgdx98lu616,44953245,Cancelled,PayPal
NA,tkpw04jb846,61194907,Completed,Credit Card
NA,ikzx52ui551,52742395,Completed,PayPal
NA,zxls47rf746,61352317,Processing,Bank Transfer
NA,ahlk24vu240,61696277,Cancelled,Debit Card
NA,gihd07uq210,84026325,Completed,Credit Card
NA,krhb93ai768,86933674,Cancelled,PayPal
NA,gihd07uq210,20508421,Pending,PayPal
NA,ormw26jh773,53243155,Processing,Credit Card
NA,ahlk24vu240,61696277,Completed,Credit Card
NA,uztn96tq233,46367252,Pending,PayPal
NA,qvgr83pl390,37049830,Completed,Bank Transfer
NA,vqjd84nx309,80769715,Cancelled,Credit Card
NA,knqn03cl323,17024035,Completed,Credit Card
NA,awnl93gw081,40676517,Completed,Debit Card
NA,fpsq33or116,22470151,Processing,Debit Card
NA,knqn03cl323,17024035,Processing,Credit Card
NA,ucqd20dx502,13175549,Cancelled,Credit Card
NA,tomw58ec332,13035939,Failed,Debit Card
NA,sahs22dc031,44126874,Cancelled,Debit Card
NA,ormw26jh773,53243155,Failed,Credit Card
NA,ormw26jh773,99195432,Refund Completed,PayPal
NA,msit86sd799,68336930,Refund Processing,Debit Card
NA,ucqd20dx502,98595940,Completed,Debit Card
NA,zhfl22kv442,81199148,Refund Processing,Credit Card
NA,htdh42io696,68704694,Pending,Debit Card
NA,xrmi24eu289,67432523,Refund Completed,Debit Card
NA,qkbc91bj561,82881265,Completed,Credit Card
NA,ljfo40vn215,45255509,Processing,Debit Card
NA,tkpw04jb846,43016188,Completed,Credit Card
NA,faso98ij803,21050840,Completed,Credit Card
NA,pbyh46iw645,63766692,Failed,Credit Card
NA,qkbc91bj561,82881265,Processing,Credit Card
NA,tkpw04jb846,43016188,Failed,Credit Card
NA,zhac02rd895,97713916,Pending,PayPal
NA,yclp85ad695,60546044,Refund Completed,Debit Card
NA,zxhu04qz949,57102524,Refund Processing,Debit Card
NA,jaod01gt269,14691664,Refund Completed,Credit Card
NA,nzgm59bl587,92829712,Refund Processing,Debit Card
NA,tbkl20yp323,32409125,Completed,Credit Card
NA,pghk17cd042,91947937,Refund Completed,Credit Card
NA,tifc99bi200,73237285,Pending,Bank Transfer
NA,qkbc91bj561,35277939,Refund Completed,Debit Card
NA,vqjd84nx309,93977657,Refund Completed,Debit Card
NA,qvgr83pl390,69379063,Completed,Debit Card
NA,ucqd20dx502,98595940,Failed,Credit Card
NA,pbyh46iw645,63766692,Completed,Credit Card
NA,mkdf99dr289,55493840,Pending,Credit Card
NA,tbkl20yp323,15534925,Failed,Debit Card
NA,htdh42io696,68704694,Pending,Debit Card
NA,ezjr14hu791,71217634,Refund Failed,Debit Card
NA,cbks56ex501,40582794,Refund Processing,Bank Transfer
NA,jzox33pt846,56024835,Refund Completed,Debit Card
NA,zhfl22kv442,94117619,Refund Processing,Debit Card
NA,qvgr83pl390,69379063,Pending,Credit Card
NA,ahlk24vu240,41710817,Refund Failed,Debit Card
NA,pghk17cd042,50441557,Completed,Bank Transfer
NA,fpsq33or116,12622004,Refund Completed,Credit Card
NA,koxd31vc466,50449982,Failed,Debit Card
NA,tifc99bi200,73237285,Failed,Credit Card
NA,jaod01gt269,14691664,Refund Failed,Credit Card
NA,tbkl20yp323,26350738,Pending,Credit Card
NA,zxhu04qz949,54679351,Processing,Debit Card
NA,zhac02rd895,37425828,Refund Processing,Credit Card
NA,yclp85ad695,60546044,Refund Processing,Credit Card
NA,qvgr83pl390,70790059,Refund Completed,Debit Card
NA,koxd31vc466,50449982,Completed,Credit Card
NA,htdh42io696,68704694,Pending,Credit Card
NA,pbyh46iw645,33654799,Pending,Credit Card
NA,ormw26jh773,92053234,Refund Failed,PayPal
NA,pghk17cd042,50441557,Processing,PayPal
NA,uztn96tq233,53029975,Pending,Credit Card
NA,zhfl22kv442,81199148,Refund Failed,Debit Card
NA,xrmi24eu289,67432523,Refund Processing,Bank Transfer
NA,tbkl20yp323,26350738,Processing,Debit Card
NA,ikzx52ui551,16862151,Refund Processing,Debit Card
NA,zhac02rd895,37425828,Refund Failed,Bank Transfer
NA,tifc99bi200,73237285,Pending,Credit Card
NA,tkpw04jb846,47176056,Refund Completed,Credit Card
NA,ljfo40vn215,55269286,Refund Completed,Debit Card
NA,tifc99bi200,72525054,Processing,PayPal
NA,pghk17cd042,91947937,Refund Processing,Credit Card
NA,ormw26jh773,99195432,Refund Failed,Credit Card
NA,pghk17cd042,50441557,Processing,Debit Card
NA,nzgm59bl587,92829712,Refund Processing,Credit Card
NA,ucqd20dx502,98595940,Failed,Credit Card
NA,uhkk86wl165,29580805,Refund Processing,Bank Transfer
NA,crsw11jq264,42463710,Refund Failed,Credit Card
NA,mgdx98lu616,23653029,Pending,Credit Card
NA,zxhu04qz949,14064108,Failed,Debit Card
NA,zhac02rd895,97713916,Processing,Debit Card
NA,zxhu04qz949,54679351,Processing,Debit Card
NA,pbyh46iw645,63766692,Pending,Bank Transfer
NA,iiyk27fi635,78248311,Refund Processing,Credit Card
NA,mgdx98lu616,23653029,Failed,PayPal
NA,mgdx98lu616,18582463,Refund Failed,Credit Card
NA,tkpw04jb846,43016188,Pending,Bank Transfer
NA,tbkl20yp323,19143784,Refund Completed,Credit Card
NA,xikc18dy769,86248271,Pending,PayPal
NA,ikzx52ui551,16862151,Refund Failed,Debit Card
NA,mgdx98lu616,23653029,Completed,PayPal
NA,zxhu04qz949,54679351,Pending,PayPal
NA,zhac02rd895,97713916,Failed,Debit Card
NA,awnl93gw081,49306897,Pending,Debit Card
NA,iiyk27fi635,78248311,Refund Failed,Debit Card
NA,nzgm59bl587,92829712,Refund Processing,PayPal
NA,ahlk24vu240,90727697,Refund Completed,Debit Card
NA,ormw26jh773,99195432,Refund Failed,PayPal
NA,nzgm59bl587,92829712,Refund Completed,Credit Card
NA,bjgd27ii209,67222441,Failed,Credit Card
NA,zxhu04qz949,54679351,Pending,Credit Card
NA,tkpw04jb846,43016188,Completed,Credit Card
NA,zhac02rd895,37425828,Refund Processing,Debit Card
NA,qvgr83pl390,70790059,Refund Processing,Debit Card
NA,cbks56ex501,40582794,Refund Completed,PayPal
NA,ljfo40vn215,45255509,Completed,Debit Card
NA,vqjd84nx309,93977657,Refund Failed,Debit Card
NA,ehqe06pj251,96710938,Completed,PayPal
NA,rkge30jc866,16898483,Completed,Bank Transfer
NA,pghk17cd042,50441557,Processing,PayPal
NA,gkab56dt596,83660315,Refund Completed,Credit Card
NA,ikzx52ui551,47703666,Failed,PayPal
NA,gkab56dt596,83660315,Refund Failed,PayPal
NA,pbyh46iw645,63766692,Processing,Credit Card
NA,koxd31vc466,50449982,Completed,Debit Card
NA,pbyh46iw645,33654799,Completed,Debit Card
NA,uztn96tq233,22715459,Refund Processing,Debit Card
NA,qvgr83pl390,69379063,Processing,Debit Card
NA,tifc99bi200,21530177,Failed,PayPal
NA,mgdx98lu616,23653029,Completed,Credit Card
NA,ormw26jh773,92053234,Refund Failed,Debit Card
NA,sahs22dc031,46371309,Refund Completed,Debit Card
NA,msit86sd799,68336930,Refund Processing,Bank Transfer
NA,iiyk27fi635,78248311,Refund Processing,Credit Card
NA,pghk17cd042,91947937,Refund Processing,Credit Card
NA,rkge30jc866,16898483,Failed,PayPal
NA,gihd07uq210,71619065,Refund Processing,Credit Card
NA,pbyh46iw645,33654799,Completed,Credit Card
NA,ljfo40vn215,14438674,Pending,Debit Card
NA,xpnj35im610,44226575,Pending,Debit Card
NA,tifc99bi200,72525054,Completed,Credit Card
NA,xikc18dy769,86248271,Pending,Credit Card
NA,mgdx98lu616,23653029,Completed,Credit Card
NA,zhfl22kv442,81199148,Refund Completed,Credit Card
NA,tbkl20yp323,19143784,Refund Completed,Credit Card
NA,cjum45cw955,50872739,Failed,Debit Card
NA,tifc99bi200,72525054,Processing,Credit Card
NA,zxhu04qz949,57102524,Refund Processing,Debit Card
NA,cjum45cw955,39413671,Refund Completed,PayPal
NA,koxd31vc466,70051639,Refund Completed,Credit Card
NA,cbks56ex501,40582794,Refund Failed,Credit Card
NA,pbyh46iw645,63766692,Pending,Credit Card
NA,ormw26jh773,99195432,Refund Completed,PayPal
NA,tkpw04jb846,43016188,Pending,Credit Card
NA,htdh42io696,86071595,Pending,Debit Card
NA,nzgm59bl587,53240024,Failed,PayPal
NA,knqn03cl323,40246380,Refund Completed,Debit Card
NA,bofq23xp782,64665076,Refund Processing,PayPal
NA,zxhu04qz949,57102524,Refund Completed,Debit Card
NA,tifc99bi200,67200803,Pending,Credit Card
NA,tbkl20yp323,19143784,Refund Failed,Credit Card
NA,qkbc91bj561,35277939,Refund Processing,PayPal
NA,uztn96tq233,33121919,Refund Processing,PayPal
NA,pbyh46iw645,63766692,Processing,Credit Card
NA,jaod01gt269,67810995,Processing,Credit Card
NA,tbkl20yp323,26350738,Failed,Debit Card
NA,zxhu04qz949,14064108,Failed,Debit Card
NA,pbyh46iw645,33654799,Processing,Debit Card
NA,zxhu04qz949,14064108,Processing,Credit Card
